UUID,Date,Sentiment_score,Lsa_summary
1450ddf4-d7df-4450-849c-ff8895228cbd,2023-12-16T08:00:00.000+08:00,4,"In recent trading, shares of Alcoa Corporation (Symbol: AA) have crossed above the average analyst 12-month target price of $30.60, changing hands for $31.10/share. When a stock reaches the target an analyst has set, the analyst logically has two ways to react: downgrade on valuation, or, re-adjust their target price to a higher level. Analyst reaction may also depend on the fundamental business developments that may be responsible for driving the stock price higher — if things are looking up for the company, perhaps it is time for that target price to be raised."
506d68d6-3f95-4467-80ed-aa0e7dbca446,2023-12-15T08:00:00.000+08:00,2,"Below is Validea's guru fundamental report for ALCOA CORP (AA). Of the 22 guru strategies we follow, AA rates highest using our Price/Sales Investor model based on the published strategy of Kenneth Fisher. This value strategy rewards stocks with low P/S ratios, long-term profit growth, strong free cash flow and consistent profit margins."
6b681a63-9928-403d-9a5d-3f2f0e06d439,2023-12-14T08:00:00.000+08:00,3,"That number works out to 99.6% of CPE's average daily trading volume over the past month, of 1.6 million shares. Especially high volume was seen for the $29 strike call option expiring December 15, 2023, with 2,603 contracts trading so far today, representing approximately 260,300 underlying shares of CPE. Below is a chart showing CPE's trailing twelve month trading history, with the $29 strike highlighted in orange:"
2440e948-ac2c-4fe6-abb3-5fc4d1b40f4d,2023-12-07T08:00:00.000+08:00,1,"That amounts to about 48.5% of AA's average daily trading volume over the past month of 4.3 million shares. Especially high volume was seen for the $45 strike put option expiring January 19, 2024, with 1,130 contracts trading so far today, representing approximately 113,000 underlying shares of AA. Below is a chart showing AA's trailing twelve month trading history, with the $45 strike highlighted in orange:"
009a1045-c426-4541-8d2a-fff8122eae22,2023-12-07T08:00:00.000+08:00,1,"HSBC Initiates Coverage of Alcoa (AA) with Hold Recommendation. Fintel reports that on December 7, 2023, HSBC initiated coverage of Alcoa (NYSE:AA) with a Hold recommendation."
ba3f12f1-51ac-4ab0-82b3-d04d8fd6aab9,2023-12-06T08:00:00.000+08:00,2,"Here's Why Alcoa (AA) Fell More Than Broader Market. The most recent trading session ended with Alcoa (AA) standing at $25.12, reflecting a -0.48% shift from the previouse trading day's closing. The stock trailed the S&P 500, which registered a daily loss of 0.39%."
c05cade3-bcc6-45b2-a4d4-aad8febbd9f4,2023-12-01T08:00:00.000+08:00,4,Global aluminium producer seeks Q1 premium of $95/T -sources. By Yuka Obayashi
7ccb1792-ca96-45ab-a493-d1c23dde21d3,2023-11-30T08:00:00.000+08:00,3,"Alcoa (AA) Outperforms Broader Market: What You Need to Know. In the latest market close, Alcoa (AA) reached $26.86, with a +1.59% movement compared to the previous day. On the other hand, the Dow registered a gain of 1.47%, and the technology-centric Nasdaq decreased by 0.23%."
9f24f7f8-f590-4c03-8d5f-78243aea3477,2023-11-24T08:00:00.000+08:00,1,"Alcoa (AA) Stock Declines While Market Improves: Some Information for Investors. Alcoa (AA) ended the recent trading session at $26.24, demonstrating a -0.53% swing from the preceding day's closing price. Meanwhile, the Dow gained 0.33%, and the Nasdaq, a tech-heavy index, lost 0.11%."
bbbcc102-796a-48c9-aee0-9c32c5bbe10a,2023-11-23T08:00:00.000+08:00,2,"Below is Validea's guru fundamental report for ALCOA CORP (AA). Of the 22 guru strategies we follow, AA rates highest using our Price/Sales Investor model based on the published strategy of Kenneth Fisher. This value strategy rewards stocks with low P/S ratios, long-term profit growth, strong free cash flow and consistent profit margins."
d366b8fe-abe6-4bbb-88ac-c2790f77e367,2023-11-20T08:00:00.000+08:00,2,"Implied MDYV Analyst Target Price: $76. Looking at the underlying holdings of the ETFs in our coverage universe at ETF Channel, we have compared the trading price of each holding against the average analyst 12-month forward target price, and computed the weighted average implied analyst target price for the ETF itself. For the SPDR S&P 400 Mid Cap Value ETF (Symbol: MDYV), we found that the implied analyst target price for the ETF based upon its underlying holdings is $75.92 per unit."
2875e501-ee72-49c2-97f0-7788371aa119,2023-11-17T08:00:00.000+08:00,3,"Industry group urges EU to impose wider sanctions on Russian aluminium. LONDON, Nov 17 (Reuters) - The European Union should impose broader import bans on Russian aluminium as part of its latest package of sanctions, industry group European Aluminium said on Friday."
7b379a15-f511-48af-9c87-131d3826017b,2023-11-17T08:00:00.000+08:00,4,Industry group urges EU to impose broader sanctions on Russian aluminium. Updates with data on Russian aluminium imports in paragraphs 5-6
5c6d531b-c1fd-43ce-93ce-fb1256dac466,2023-11-13T08:00:00.000+08:00,5,"Investors in Alcoa Corporation (Symbol: AA) saw new options become available this week, for the January 2025 expiration. One of the key data points that goes into the price an option buyer is willing to pay, is the time value, so with 431 days until expiration the newly available contracts represent a potential opportunity for sellers of puts or calls to achieve a higher premium than would be available for the contracts with a closer expiration. At Stock Options Channel, our YieldBoost formula has looked up and down the AA options chain for the new January 2025 contracts and identified one put and one call contract of particular interest."
7c9cc70f-40e5-443a-9836-94ab1bf4360f,2023-11-09T08:00:00.000+08:00,1,"Below is Validea's guru fundamental report for ALCOA CORP (AA). Of the 22 guru strategies we follow, AA rates highest using our Price/Sales Investor model based on the published strategy of Kenneth Fisher. This value strategy rewards stocks with low P/S ratios, long-term profit growth, strong free cash flow and consistent profit margins."
6f7b155f-ec28-45d2-a072-4c4a828c9563,2023-11-07T08:00:00.000+08:00,2,"COLUMN-New EU power market, same old problems for metals sector: Andy Home. By Andy Home"
376d6df7-08e3-4533-9dc8-cd3592bb5a76,2023-11-07T08:00:00.000+08:00,3,"COLUMN-New EU power market, same old problems for metals sector: Andy Home. By Andy Home"
e739074f-bda1-4c59-8e11-1416280ef21c,2023-10-26T08:00:00.000+08:00,4,"Below is Validea's guru fundamental report for ALCOA CORP (AA). Of the 22 guru strategies we follow, AA rates highest using our Price/Sales Investor model based on the published strategy of Kenneth Fisher. This value strategy rewards stocks with low P/S ratios, long-term profit growth, strong free cash flow and consistent profit margins."
3b7f75a6-76f2-4cb7-8679-175e689d4637,2023-10-26T08:00:00.000+08:00,2,"December 8th Options Now Available For Alcoa (AA). Investors in Alcoa Corporation (Symbol: AA) saw new options become available today, for the December 8th expiration. At Stock Options Channel, our YieldBoost formula has looked up and down the AA options chain for the new December 8th contracts and identified one put and one call contract of particular interest."
6d3c71a4-906c-4736-a793-edd0df7bc255,2023-10-26T08:00:00.000+08:00,1,"Ex-Dividend Reminder: Omega Healthcare Investors, Texas Instruments and Alcoa. Looking at the universe of stocks we cover at Dividend Channel, on 10/30/23, Omega Healthcare Investors, Inc. (Symbol: OHI), Texas Instruments Inc. (Symbol: TXN), and Alcoa Corporation (Symbol: AA) will all trade ex-dividend for their respective upcoming dividends. As a percentage of OHI's recent stock price of $33.81, this dividend works out to approximately 1.98%, so look for shares of Omega Healthcare Investors, Inc. to trade 1.98% lower — all else being equal — when OHI shares open for trading on 10/30/23."
